,financial_data_id,company_id,returns,volatility,open,close,high,low,volume,year,month,day,outlier
122470,134495,25,-0.021688688895888042,0.020595915515893248,2.667691241600328,2.689379930496216,2.7203635691591384,2.6286517906968534,13426200,2001,3,23,-1
122492,134517,25,-0.10844276103269523,0.026642172842048232,3.033298991591817,3.141741752624512,3.141741752624512,3.005413662906118,12168300,2001,4,25,-1
122511,134536,25,0.037800074211670864,0.01506755387628779,3.098363638512208,3.060563564300537,3.126248958536095,3.04878986757329,12398300,2001,5,22,-1
122522,134547,25,-0.03841965528936164,0.021932163319851105,2.9682334151604675,3.006653070449829,3.024003836763774,2.9155610745286946,23434900,2001,6,7,-1
122532,134557,25,-0.07266642301827053,0.023006021603722247,2.912921650712198,2.9855880737304688,3.01690981191017,2.9035250336719285,12679500,2001,6,21,-1
122588,134613,25,-0.12047388740309017,0.03173416470358962,2.98014113716356,3.1006150245666504,3.12914809726994,2.9680938451750487,13036200,2001,9,17,-1
122590,134615,25,0.019022133254225082,0.017160071845570064,3.0625711940757583,3.043549060821533,3.1063223666279782,3.018820263403086,11683400,2001,9,19,-1
122592,134617,25,-0.02409483324743089,0.021855145294512726,2.9357569085433406,2.9598517417907715,2.980776017650185,2.874252013664824,15623800,2001,9,21,-1
122619,134644,25,0.019022123671916358,0.00880236233513455,3.043547527648357,3.0245254039764404,3.050522362766593,3.0061372462791693,13111700,2001,10,30,-1
122638,134663,25,0.05643241938697141,0.018220239091294308,2.9230744176779875,2.866641998291016,2.928147114282406,2.8406450328920907,12026000,2001,11,27,-1
122656,134681,25,0.04237644460824086,0.011944135507403478,2.983045504361659,2.940669059753418,2.9997393962878416,2.940669059753418,13342600,2001,12,21,-1
122780,134805,25,0.09218588971045172,0.022961347698113792,3.510209475983645,3.4180235862731934,3.547863034980261,3.4147774019362407,14087400,2002,6,21,-1
122781,134806,25,0.19346082023105682,0.05035145481032744,3.3615444879861838,3.168083667755127,3.382318787631855,3.110305131387529,24510300,2002,6,24,-1
122782,134807,25,0.17203744034716895,0.041564049580534786,3.1940518198485117,3.0220143795013428,3.2232657575215096,3.007732202588364,23797300,2002,6,25,-1
122783,134808,25,0.03286940786573611,0.03525748736343297,2.9911161157819963,2.95824670791626,2.997689897045672,2.8267690764533158,36050900,2002,6,26,-1
122784,134809,25,0.16303218002998943,0.0851961864076235,2.9812542259284265,2.818222045898437,3.056853939802884,2.652560253906611,27270100,2002,6,27,-1
122785,134810,25,-0.026952912561611253,0.013869785089220285,2.844519446142002,2.8714723587036133,2.90828619691347,2.841889832532636,21672500,2002,6,28,-1
122787,134812,25,-0.01972160205404183,0.01160032790233373,2.984543467907506,3.004265069961548,3.02398667201559,2.966136421986461,14382500,2002,7,2,-1
122798,134823,25,0.11044127448890606,0.026714589520349604,2.90105516418312,2.790613889694214,2.90105516418312,2.7748364572927504,11751600,2002,7,18,-1
122800,134825,25,-0.0032868916282495775,0.021273578119870264,2.761031097721115,2.764317989349365,2.833343716637642,2.734735463147602,11879400,2002,7,22,-1
122801,134826,25,-0.12819082131695092,0.034556310717128995,2.7774667085139817,2.9056575298309326,2.9391842365636305,2.7748370940480105,14227800,2002,7,23,-1
122802,134827,25,-0.08940484228612888,0.02259857478645275,2.846491077513676,2.9358959197998047,2.9549602392701115,2.845833799602917,12653900,2002,7,24,-1
122803,134828,25,0.0006572779875795298,0.01628646404854768,2.9556178626280825,2.954960584640503,2.997690675498074,2.917489470004808,11664800,2002,7,25,-1
122810,134835,25,-0.14133862487697657,0.036907947043169964,2.981256685334205,3.1225953102111816,3.16532566213412,2.9766549859915883,14060000,2002,8,5,-1
122824,134849,25,0.09334928674053611,0.022337486354728955,3.219231197064633,3.1258819103240967,3.240924884684517,3.1225950183542697,13149900,2002,8,23,-1
122831,134856,25,0.11307087927426496,0.028456203908967168,3.2553872206744114,3.1423163414001465,3.267220231332125,3.11602095720704,13623600,2002,9,4,-1
122833,134858,25,0.0486468503325348,0.02147399864578662,3.106160087332047,3.057513236999512,3.106817365369862,2.9976909046077718,17982700,2002,9,6,-1
